"","cue","coverage","H","unknown","xR2","xR3","N"
"1934","classroom",95.9322033898305,3.446838466287,0,1,3,300
"1935","classy",85.9205776173285,4.82452278903745,2,6,5,300
"1936","clause",86.411149825784,3.88870124264024,0,3,7,300
"1937","claustrophobia",82.3529411764706,4.20299601990383,1,0,8,300
"1938","claw",89.3103448275862,4.13600123204827,2,0,4,300
"1939","claws",87.2413793103448,3.88899969538225,0,3,4,300
"1940","clay",90.2439024390244,4.14373163066944,2,1,5,300
"1941","clean",86.4583333333333,4.5223679618938,1,2,5,300
"1942","cleaner",80,4.77613401694865,1,2,3,300
"1943","cleaning",87.4564459930314,4.62518212449337,1,4,2,300
"1944","cleanliness",85.8695652173913,4.24577508259168,1,6,9,300
"1945","cleanse",85.0174216027875,4.03270571861497,1,2,6,300
"1946","cleanser",83.0508474576271,4.17623842370416,0,1,3,300
"1947","cleansing",82.7205882352941,4.47140782785636,2,9,4,300
"1948","clean up",87.4551971326165,4.30831143387414,0,6,9,300
"1949","clear",91.4675767918089,4.28281819938737,0,1,5,300
"1950","clearly",81.8867924528302,4.36083818441082,3,6,14,300
"1951","cleavage",84.0989399293286,3.99605016949604,2,1,9,300
"1952","cleave",82.1917808219178,4.09708868656405,16,11,11,300
"1953","clef",87.4045801526718,3.1354200295403,7,6,5,300
"1954","cleft",71.1111111111111,3.80985924420021,14,12,9,300
"1955","clementine",86.5248226950355,3.68280231822511,2,3,6,300
"1956","clench",94.6969696969697,3.60445894905346,7,5,5,300
"1957","clergy",89.1156462585034,3.79535233076332,1,0,3,300
"1958","cleric",84.251968503937,4.06536642346881,9,5,9,300
"1959","clerical",81.7164179104478,4.12334793857814,5,5,7,300
"1960","clerk",87.5886524822695,4.37927908640802,4,1,4,300
"1961","clever",90.4255319148936,3.86499084501005,1,3,9,300
"1962","cliche",72.1374045801527,4.60201552873839,0,16,6,300
"1963","click",89.3238434163701,3.9504935634085,1,3,10,300
"1964","client",90.2985074626866,4.17293582593154,1,6,17,300
"1965","cliff",87.8892733564014,4.09215688576832,0,2,7,300
"1966","climate",92.4914675767918,3.43857787715287,1,1,2,300
"1967","climate change",71.3793103448276,4.67100765514096,0,2,6,300
"1968","climax",91.0958904109589,3.64711458433438,0,2,4,300
"1969","climb",93.2862190812721,3.83261582104453,1,4,6,300
"1970","climber",89.9641577060932,3.86640375414125,4,2,5,300
"1971","climbing",91.9732441471572,4.0290785709855,0,0,1,300
"1972","cling",90.7801418439716,4.29948778284535,1,2,11,300
"1973","clinging",83.3948339483395,4.54259527985132,0,13,3,300
"1974","clingy",87.8326996197719,4.44996593895031,7,4,8,300
"1975","clinic",95.53264604811,3.85919230318478,0,2,5,300
"1976","clinical",93.1740614334471,4.00063736669601,0,1,5,300
"1977","clip",91.4089347079038,4.13743619002797,2,0,3,300
"1978","clipboard",86.8913857677903,4.28099508311949,3,8,8,300
"1979","clipper",90.2985074626866,3.80485156528387,4,6,8,300
"1980","clippers",88.2352941176471,3.76938145871503,5,2,9,300
"1981","clique",86.3157894736842,4.16547044125712,1,3,6,300
"1982","clitoris",86.0294117647059,3.55033195902049,2,6,10,300
"1983","cloak",89.5973154362416,3.93423963151827,0,0,2,300
"1984","clock",89.9328859060403,3.53972917163868,0,0,2,300
"1985","clockwise",85.3046594982079,3.77379730632847,0,6,9,300
"1986","clog",92.4812030075188,3.76440002619324,7,4,5,300
"1987","cloister",89.4514767932489,4.29380285509253,15,6,6,300
"1988","clone",92.6829268292683,4.01949534347967,1,3,4,300
"1989","close",95.2054794520548,3.33796637733424,0,0,8,300
"1990","closed",89.0070921985816,3.69707296206765,0,3,12,300
"1991","closely",84.8484848484848,4.36531539474744,0,9,18,300
"1992","closeness",87.956204379562,4.05373511484548,0,8,10,300
"1993","closer",82.6415094339623,4.34597788453988,1,9,14,300
"1994","closet",91.5789473684211,3.7943161758036,2,1,7,300
"1995","closing",88.0281690140845,3.98095412344714,0,3,10,300
"1996","closure",88.3802816901408,4.36021615048403,2,1,8,300
"1997","cloth",92.9824561403509,4.17957196067459,3,1,4,300
"1998","clothe",87.7622377622378,4.16364983079404,1,1,9,300
"1999","clothes",93.127147766323,4.36727985501757,2,0,3,300
"2000","clothing",91.4675767918089,4.30268301235322,1,1,2,300
"2001","cloths",77.6223776223776,4.50238825901507,1,3,5,300
"2002","cloud",87.8892733564014,3.67042285497017,2,2,1,300
"2003","clouds",89.419795221843,3.36279143985109,0,1,5,300
"2004","cloudy",93.8983050847458,3.70924714555551,0,0,5,300
"2005","clove",93.359375,4.01169185223714,7,7,9,300
"2006","clover",87.19723183391,3.75805346605989,2,0,5,300
"2007","cloves",92.3728813559322,4.14108063000637,13,9,7,300
"2008","clown",87.5432525951557,4.19930376072957,0,2,7,300
"2009","clowns",79.136690647482,4.0940368481404,1,6,7,300
"2010","cloying",84.7826086956522,4.37788437410399,19,4,5,300
"2011","club",89.8989898989899,4.43676539584548,0,0,3,300
"2012","cluck",89.0350877192982,3.28312144598157,10,16,10,300
"2013","clue",90.5797101449275,3.88110253802839,3,5,5,300
"2014","clueless",82.1167883211679,4.23792166086144,3,4,9,300
"2015","clues",74.4525547445255,4.05454350915168,1,6,11,300
"2016","clumsy",82.2463768115942,4.56839790135407,2,7,4,300
"2017","cluster",90.5797101449275,4.0972933727419,1,6,9,300
"2018","clutch",93.6842105263158,3.4135280742973,4,0,3,300
"2019","clutter",91.6363636363636,3.98880064879776,3,3,10,300
"2020","coach",93.4931506849315,4.23052589170024,1,1,3,300
"2021","coal",92.1501706484642,4.03791435171075,0,1,5,300
"2022","coarse",95.970695970696,3.94368948687207,3,6,6,300
"2023","coast",88.8888888888889,3.81281433556639,0,0,3,300
"2024","coaster",91.3194444444444,3.77085413313168,1,2,5,300
"2025","coat",93.4256055363322,3.79237206163866,1,2,4,300
"2026","coating",89.1791044776119,4.16041802367847,4,4,12,300
"2027","cob",93.75,3.04764754269879,3,13,9,300
"2028","cobbler",93.8697318007663,3.74044109857798,6,8,5,300
"2029","cobra",90.0684931506849,3.41074933622962,0,0,8,300
"2030","cobweb",88.5185185185185,3.50266295352125,6,3,6,300
"2031","Coca Cola",90.9722222222222,3.80614010735247,0,3,6,300
"2032","cocaine",92.8327645051195,3.58979896207639,1,0,4,300
"2033","cock",91.4965986394558,3.67158987599941,0,1,4,300
"2034","cockpit",87.1886120996441,3.4346357240693,4,3,1,300
"2035","cockroach",89.8305084745763,4.19304776288693,1,0,2,300
"2036","cocktail",89.9665551839465,3.9298715402778,0,0,1,300
"2037","cocky",81.8181818181818,4.56142487809974,4,6,12,300
"2038","cocoa",93.5153583617747,3.34034773405359,1,0,4,300
"2039","coconut",90.9698996655518,3.94908040326525,0,0,1,300
"2040","cocoon",86.7857142857143,3.63500621860246,4,1,6,300
"2041","cod",82.6568265682657,3.5336553150492,5,1,12,300
"2042","code",86.6438356164384,4.40421092287066,1,1,3,300
"2043","coding",80.8823529411765,4.17915945440441,3,6,7,300
"2044","coerce",89.5522388059701,3.96133918331695,5,3,11,300
"2045","coffee",91.2457912457912,3.93206945755958,0,0,3,300
"2046","coffin",93.4256055363322,3.63160358836722,1,2,4,300
"2047","cog",89.4514767932489,3.42772525745643,15,5,8,300
"2048","cognac",87.6984126984127,3.78195283897288,9,9,3,300
"2049","cognition",90.6614785992218,3.77449275696131,9,3,10,300
"2050","cognitive",90.1754385964912,3.99979652843908,1,2,8,300
"2051","cogs",84.4444444444444,3.90446006279032,5,3,9,300
"2052","cohort",82.9875518672199,4.35713563779423,13,4,12,300
"2053","coil",91.3494809688581,3.6626452321243,2,0,5,300
"2054","coin",93.2862190812721,3.88625172098763,1,6,2,300
"2055","coincidence",84.4106463878327,4.17047892757899,2,6,19,300
"2056","coins",90.8474576271186,3.55988895187209,1,0,2,300
"2057","coke",95.9044368600683,3.87553250874934,1,0,4,300
"2058","cola",88.135593220339,3.29484967366866,0,1,3,300
"2059","colander",92.96875,3.67803962824274,13,1,3,300
"2060","cold",92.9765886287625,4.03757752934786,0,0,1,300
"2061","colder",88.8111888111888,3.8682615223923,0,3,8,300
"2062","coleslaw",89.3129770992366,3.627859547351,7,5,7,300
"2063","collaborate",82.3321554770318,4.16435391903429,0,4,9,300
"2064","collaboration",80.1393728222996,4.33626786938965,0,1,11,300
"2065","collapse",88.9679715302491,3.9696254550423,2,0,13,300
"2066","collar",90.5923344947735,3.77154416045444,1,1,8,300
"2067","colleague",82.4372759856631,3.67589593606864,2,3,9,300
"2068","collect",90.9090909090909,4.29904882663116,1,2,7,300
"2069","collected",63.7065637065637,4.54643221977525,0,13,15,300
"2070","collection",89.198606271777,4.65720302494967,1,3,4,300
"2071","collective",85.1449275362319,4.38873801578231,2,4,10,300
"2072","collector",85.4671280276817,4.50138281771307,1,1,6,300
"2073","college",86.5319865319865,4.00734443503378,0,1,1,300
"2074","collide",87.719298245614,3.76281745116251,2,1,7,300
"2075","collision",89.6907216494845,3.67253453887346,0,1,7,300
"2076","colloquial",88.2845188284519,4.37654631299482,14,6,7,300
"2077","cologne",92.1232876712329,3.54811405102607,1,1,3,300
"2078","colon",76.0869565217391,4.0568628954646,5,1,7,300
"2079","colonel",82.9090909090909,3.82641061194533,1,7,8,300
"2080","colonial",83.0449826989619,4.74219420754686,2,2,1,300
"2081","colonialism",75.6756756756757,4.82638041917722,5,10,6,300
"2082","colony",81.0526315789474,4.535936501464,2,1,7,300
"2083","color",92.7083333333333,3.76276508586311,1,2,5,300
"2084","Colorado",73.5632183908046,3.83871295649444,1,9,18,300
"2085","colored",77.2893772893773,4.40757720129551,0,8,11,300
"2086","colorful",90.9407665505226,4.05382499324268,1,2,6,300
"2087","colors",90.7534246575342,3.58408739521571,1,1,3,300
"2088","Colt",87.360594795539,3.64943461337914,6,2,9,300
"2089","Columbus",65.1685393258427,3.75166372950619,3,6,12,300
"2090","column",86.2676056338028,4.14746960263691,0,3,10,300
"2091","coma",86.7595818815331,3.84571697513626,2,1,5,300
"2092","comb",89.9305555555556,3.48139293311473,2,0,6,300
"2093","combat",92.7586206896552,3.48865898891248,1,2,3,300
"2094","combination",87.0967741935484,4.37754126383033,0,6,9,300
"2095","combine",84.1726618705036,4.04593623546267,0,6,10,300
"2096","combined",82.3754789272031,3.86623671565013,0,14,11,300
"2097","combustion",96.5753424657534,3.32257144100952,1,1,3,300
"2098","come",90.1060070671378,3.94339450108741,0,3,11,300
"2099","comeback",80.8664259927798,4.54958239317448,1,6,8,300
"2100","come back",81.6793893129771,4.1584309818681,1,12,11,300
"2101","comedian",76.8166089965398,3.64161800582313,1,1,6,300
"2102","comedy",85.5172413793103,3.84664080474713,0,3,4,300
"2103","come in",94.0140845070423,3.40278253960887,0,2,12,300
"2104","comes",58.8,3.69469560794223,1,17,13,300
"2105","comet",87.6325088339223,3.99828101116736,3,3,2,300
"2106","come together",83.1501831501832,4.04140858005253,0,9,9,300
"2107","comfort",94.3462897526502,4.26183647464458,3,0,8,300
"2108","comfortable",95.5017301038062,4.00042874046113,1,2,4,300
"2109","comforter",92.9078014184397,3.81148924315713,2,3,6,300
"2110","comforting",91.4089347079038,4.30782413533821,0,2,5,300
"2111","comfy",94.0972222222222,3.62305774794759,2,1,4,300
"2112","comic",85.2233676975945,3.79500298097614,0,2,5,300
"2113","comics",71.3780918727915,4.35174254719113,0,5,7,300
"2114","coming",91.0071942446043,3.83204205893656,1,4,11,300
"2115","comma",86.551724137931,3.88152086537729,0,1,8,300
"2116","command",91.0652920962199,4.22795109452904,0,2,5,300
"2117","commander",92.7083333333333,3.78132233617013,0,2,8,300
"2118","commence",93.7728937728938,3.09099768231967,4,1,13,300
"2119","comment",94.3262411347518,4.3714117254379,2,1,10,300
"2120","commerce",91.8439716312057,3.79928105640794,3,2,5,300
"2121","commercial",82.2695035460993,4.6079378275492,2,1,10,300
"2122","commission",89.3992932862191,4.52919997021561,0,4,9,300
"2123","commit",89.0070921985816,4.45603724757862,1,3,9,300
"2124","commitment",92.9577464788732,4.31341781810892,1,2,9,300
"2125","committed",83.9160839160839,4.52279035555668,1,1,9,300
"2126","committee",86.5051903114187,4.277883585,0,3,5,300
"2127","common",89.419795221843,4.49617156654593,0,1,5,300
"2128","commons",78.5425101214575,4.63802391575311,10,6,11,300
"2129","common sense",79.1338582677165,4.70992892437438,2,15,10,300
"2130","commune",86.2745098039216,4.52554484510757,5,9,12,300
"2131","communicate",92.8082191780822,4.05495430410053,0,3,2,300
"2132","communication",92.7335640138408,4.33049171132436,2,0,5,300
"2133","communion",84.6689895470383,3.96043786723704,1,2,6,300
"2134","communism",77.7385159010601,4.10968346776237,3,2,4,300
"2135","communist",80.2083333333333,4.09897714759842,1,2,5,300
"2136","community",91.2162162162162,4.21778703001322,0,1,2,300
"2137","commute",94.8453608247423,3.51145084636333,1,1,4,300
"2138","compact",95.1890034364261,3.36815852880376,1,0,6,300
"2139","companion",92.7083333333333,3.6850556046619,1,2,5,300
"2140","companionship",93.8983050847458,4.14938571723647,0,2,1,300
"2141","company",83.2764505119454,4.16634479565271,0,0,7,300
"2142","comparative",81.7164179104478,4.41574216685968,2,8,10,300
"2143","compare",84.3511450381679,4.31624617130138,4,6,14,300
"2144","comparison",88.7596899224806,4.68214081337034,7,5,11,300
"2145","compartment",90.4255319148936,4.15526056531235,1,3,9,300
"2146","compass",95.8904109589041,3.81357239456132,2,0,2,300
"2147","compassion",94.7735191637631,4.01983837520617,1,2,6,300
"2148","compassionate",94.3661971830986,3.96435122702679,3,2,3,300
"2149","compatible",78.6231884057971,4.62466622945927,3,4,7,300
"2150","compel",89.344262295082,4.14459900570741,10,8,10,300
"2151","compelled",69.8841698841699,4.24617207406531,4,9,11,300
"2152","compensation",82.2878228782288,4.05383263752071,5,2,10,300
"2153","compete",90.4255319148936,4.39792097925346,2,2,8,300
"2154","competence",92,4.35089301736755,0,8,9,300
"2155","competent",94.6153846153846,4.05723184140466,4,4,20,300
"2156","competition",89.9305555555556,4.36278477281875,1,3,3,300
"2157","competitive",91.2891986062718,4.53364269452447,0,4,5,300
"2158","competitor",91.3194444444444,4.34600481029119,1,1,7,300
"2159","compile",90.0355871886121,4.28896008120833,3,1,8,300
"2160","complain",89.0845070422535,4.41457486851562,3,1,5,300
"2161","complaint",86.1209964412811,4.66274306811845,1,4,8,300
"2162","complete",93.0795847750865,3.60173324804535,0,2,7,300
"2163","completed",91.9117647058823,3.07100965321754,0,7,14,300
"2164","completely",86.6666666666667,3.69701592464479,2,5,14,300
"2165","completion",93.2384341637011,3.66951582260555,1,2,12,300
"2166","complex",88.768115942029,4.29945457901932,2,4,10,300
"2167","compliant",79.2682926829268,4.67066754380287,7,10,13,300
"2168","complicated",88.339222614841,4.02944685144422,1,3,8,300
"2169","complication",90.6716417910448,4.20239272142963,0,9,14,300
"2170","compliment",93.9501779359431,4.21670524781477,0,5,9,300
"2171","comply",86.5900383141762,4.23866436833275,6,4,13,300
"2172","component",95.6043956043956,3.53657134419464,2,4,13,300
"2173","components",86.8131868131868,3.7611625699267,0,8,11,300
"2174","compose",94.4636678200692,3.68080036387607,0,4,3,300
"2175","composer",86.1111111111111,3.4827113773528,1,1,7,300
"2176","composition",94.1580756013746,3.79676492354581,0,1,7,300
"2177","compost",90.8771929824562,4.05251607615704,1,4,4,300
"2178","composure",84.1666666666667,4.25469022789615,7,15,9,300
"2179","compound",90.0709219858156,4.5777273358165,3,2,5,300
"2180","comprehend",92.4460431654676,3.47037618397081,0,4,14,300
"2181","comprehension",91.7857142857143,3.61797390670748,1,4,9,300
"2182","comprehensive",89.6678966789668,3.98194304826894,3,3,14,300
"2183","compress",90.3780068728522,4.12047736643065,0,1,7,300
"2184","compromise",88.8086642599278,4.78227146305585,3,2,10,300
"2185","compulsion",91.5384615384615,4.30752066828894,4,7,14,300
"2186","compulsive",87.7697841726619,4.24786999523478,2,4,8,300
"2187","compulsory",89.7233201581028,4.0453248814607,1,14,16,300
"2188","compute",84.9122807017544,4.06518289697236,0,4,7,300
"2189","computer",93.3797909407666,4.40643873111879,2,1,5,300
"2190","computing",80.9352517985612,4.26520495837934,3,2,9,300
"2191","comrade",92.7835051546392,3.50415658258738,0,2,5,300
"2192","con",91.2891986062718,4.08085971379969,2,1,5,300
"2193","concave",88.5496183206107,4.02627995757223,7,5,7,300
"2194","conceal",93.9285714285714,3.48136629292699,0,5,10,300
"2195","concealed",85.2830188679245,3.70474195409907,2,10,9,300
"2196","concede",91.7293233082707,4.04578292087232,6,3,10,300
"2197","conceit",78.6363636363636,4.65334361875455,16,11,10,300
"2198","conceited",82.5726141078838,4.32037060148358,11,9,8,300
"2199","conceive",91.3357400722022,3.73372425737185,6,2,1,300
"2200","concentrate",92.7083333333333,3.88820523402571,2,1,4,300
"2201","concentrated",83.7735849056604,4.3632210377947,0,13,9,300
"2202","concentration",90.4109589041096,4.27875377893393,1,0,5,300
"2203","concept",93.75,3.78165706299804,3,4,11,300
"2204","conception",90.9090909090909,3.7805903342575,0,8,9,300
"2205","concern",93.2075471698113,3.7945674323768,2,8,13,300
"2206","concerned",91.3533834586466,3.89949653759526,1,6,19,300
"2207","concerning",83.7944664031621,4.17930445139705,6,9,11,300
"2208","concert",90.9698996655518,3.86310559347722,0,0,1,300
"2209","concise",88.2575757575758,4.04985208481498,6,3,12,300
"2210","conclude",89.6428571428572,3.48427512035862,0,5,10,300
"2211","conclusion",92.5795053003534,3.66967920236143,0,4,9,300
"2212","concoction",90.1818181818182,3.97169663872112,5,1,8,300
"2213","concrete",93.5374149659864,4.24688964287253,1,0,3,300
"2214","concur",88.5714285714286,3.73334498969898,7,9,16,300
"2215","condemn",90.0735294117647,4.56776842347924,2,6,10,300
"2216","condensation",90,3.57532850819993,0,1,8,300
"2217","condescending",67.0833333333333,4.42783088239389,8,14,8,300
"2218","condiment",94.3181818181818,3.3774203400258,9,1,7,300
"2219","condiments",90.5594405594406,3.40512480289362,1,3,5,300
"2220","condition",90.7063197026022,4.48452874700787,4,2,15,300
"2221","conditional",81.8181818181818,4.74646584757834,6,9,11,300
"2222","conditioner",93.0555555555556,3.32128694054248,0,2,8,300
"2223","conditions",81.2274368231047,4.37760259007755,0,7,9,300
"2224","condo",88.6446886446886,3.9218399977256,5,4,4,300
"2225","condom",90.9407665505226,3.33578051539713,0,4,5,300
"2226","conduct",91.5129151291513,3.9927628836178,5,4,6,300
"2227","conductor",91.1660777385159,3.6604774591037,1,4,6,300
"2228","cone",89.1156462585034,3.96222805790381,1,0,3,300
"2229","confer",88.4462151394422,4.00858087893206,13,2,6,300
"2230","conference",90.5594405594406,4.11336641378249,0,3,8,300
"2231","confess",89.3992932862191,4.35515247253482,1,3,8,300
"2232","confession",89.7887323943662,4.19763070014942,0,3,10,300
"2233","confetti",88.0434782608696,3.49514392553661,1,8,5,300
"2234","confidant",89.6428571428572,4.50869566393886,1,3,11,300
"2235","confide",94.0350877192982,3.2181997221495,2,2,5,300
"2236","confidence",87.2586872586873,4.8029571062721,5,8,10,300
"2237","confident",92.0289855072464,4.4151220163786,1,6,9,300
"2238","confidential",85.9712230215827,3.74675464125289,0,3,16,300
"2239","configure",81.9188191881919,4.39855466918753,1,8,10,300
"2240","confine",88.5416666666667,4.34085722878857,2,1,4,300
"2241","confined",76.0617760617761,4.1530324417447,5,8,10,300
"2242","confinement",84.6153846153846,4.13718201750594,3,4,10,300
"2243","confirm",88.1294964028777,4.29779453775962,2,1,14,300
"2244","confirmation",83.9857651245552,4.38730476657154,2,3,7,300
"2245","conflict",91.6666666666667,4.0539472811219,2,1,4,300
"2246","conform",82.9710144927536,4.7572378531795,2,2,14,300
"2247","conformity",80.1526717557252,4.63753919392706,7,3,11,300
"2248","confound",82.8,4.12961746779776,7,9,11,300
"2249","confront",90.6137184115523,4.44075851059421,2,4,9,300
"2250","confrontation",92.226148409894,4.24660416308647,2,2,7,300
"2251","confuse",78.9667896678967,4.85578627992404,1,6,14,300
"2252","confused",74.6376811594203,4.81961167195098,2,5,8,300
"2253","confusing",80.7142857142857,4.79761938327878,1,4,9,300
"2254","confusion",79.3233082706767,4.89044960774584,2,10,8,300
"2255","congested",86.7383512544803,3.81478002915523,2,5,5,300
"2256","congestion",86.7768595041322,4.01776407924969,9,10,11,300
"2257","conglomerate",82.4427480916031,4.41951403266559,10,2,4,300
"2258","congratulate",90.6474820143885,4.50073480002197,1,4,11,300
"2259","congratulations",84.192439862543,4.21511737163975,0,2,5,300
"2260","congregation",87.8571428571429,3.72551206737838,2,2,10,300
"2261","congress",83.6298932384342,4.73278385107692,3,3,4,300
"2262","conjoined",73.5294117647059,3.3955731652734,6,15,14,300
"2263","conjunction",89.1566265060241,4.05931892350933,11,4,10,300
"2264","connect",90.9090909090909,4.27115033671467,0,2,10,300
"2265","connected",87.2791519434629,4.38026216594931,0,4,9,300
"2266","connection",90.1459854014599,4.67054965982942,4,4,6,300
"2267","connotation",82.4,4.15418941625865,11,3,11,300
"2268","conquer",86.2542955326461,4.39467579375842,0,3,3,300
"2269","conquest",83.1501831501832,4.64147785917124,2,7,7,300
"2270","conquistador",68.7763713080169,4.11649973841188,13,10,4,300
"2271","conscience",94.2857142857143,4.37177484921166,2,4,6,300
"2272","conscientious",92.0152091254753,4.49690781884088,7,3,10,300
"2273","conscious",93.5251798561151,3.62939858385074,2,3,10,300
"2274","consciousness",89.8550724637681,4.06308076069584,1,8,5,300
"2275","consensus",88.6446886446886,3.91660393375533,3,7,4,300
"2276","consent",93.0656934306569,4.02789180280995,1,4,15,300
"2277","consequence",90.9090909090909,4.18805471081515,6,5,8,300
"2278","conservation",87.3188405797101,4.45162049243767,2,5,8,300
"2279","conservative",83.5087719298246,4.65446238256575,1,2,8,300
"2280","conserve",89.7887323943662,3.86986544982873,1,1,11,300
"2281","consider",88.4057971014493,3.93982385456593,1,6,9,300
"2282","considerate",94.6808510638298,3.83399996915255,1,5,5,300
"2283","consideration",85.239852398524,4.46968490528683,1,6,14,300
"2284","consistent",87.0848708487085,4.43570217012625,2,5,13,300
"2285","console",93.3797909407666,4.49789731748411,1,1,8,300
"2286","consonant",85.9205776173285,3.72457376242501,2,6,5,300
"2287","conspiracy",81.1594202898551,4.16521201608344,0,6,12,300
"2288","constant",83.3922261484099,4.62421230139534,2,2,7,300
"2289","constellation",81.3793103448276,3.57739817721718,0,4,2,300
"2290","constipation",81.4814814814815,4.08339960469255,4,3,12,300
"2291","constitution",81.9787985865724,4.29186140438482,1,2,10,300
"2292","constrict",89.4545454545455,3.88255720410622,5,2,6,300
"2293","constrictor",89.4736842105263,3.39703900216439,8,11,7,300
"2294","construct",91.3978494623656,3.94206063568723,1,4,10,300
"2295","construction",90.5594405594406,4.16579530741539,2,1,6,300
"2296","constructive",93.5943060498221,3.92543893201438,1,5,6,300
"2297","consult",88.2352941176471,4.33653945415956,0,1,9,300
"2298","consume",94.7916666666667,3.76958614755896,0,1,10,300
"2299","consumer",85.1063829787234,4.39552741764137,0,4,10,300
"2300","consumerism",88.255033557047,4.43059138950102,0,1,0,300
"2301","consumption",86.0627177700349,4.12819373370961,1,3,4,300
"2302","contact",93.8356164383562,4.16955589353756,0,0,8,300
"2303","contacts",82.6388888888889,3.62525476272002,2,0,6,300
"2304","contagious",84.406779661017,3.73265759510421,1,1,0,300
"2305","contain",93.1159420289855,4.1415482960396,1,5,11,300
"2306","container",92.831541218638,4.0031151913164,1,6,6,300
"2307","contaminate",87.5432525951557,4.19237084924344,1,2,4,300
"2308","contemporary",89.3992932862191,3.94351585470419,3,1,6,300
"2309","contempt",87.7777777777778,4.27061083354222,7,1,7,300
"2310","content",88.7272727272727,4.30811444003818,3,5,6,300
"2311","contentment",93.4931506849315,3.70325383299471,0,2,4,300
"2312","contents",87.0503597122302,3.9112418134553,0,4,14,300
"2313","contest",93.4256055363322,3.90760395691512,2,1,3,300
"2314","context",88.715953307393,4.50798061663734,6,5,15,300
"2315","continent",79.1519434628975,3.83952354899762,1,4,6,300
"2316","continental",82.8767123287671,4.20279241313425,0,0,8,300
"2317","continue",89.1304347826087,4.31395246483221,2,6,6,300
"2318","continuing",78.2101167315175,4.57167612414191,1,15,10,300
"2319","continuous",81.4126394052045,4.42714863049157,2,9,7,300
"2320","contra",78.9699570815451,4.17479645539307,16,5,9,300
"2321","contraband",80.5555555555556,3.87623012010844,7,9,9,300
"2322","contraception",90.8771929824562,3.5321563544695,1,3,6,300
"2323","contraceptive",85,3.6027731073912,2,4,6,300
"2324","contract",91.1864406779661,4.30061737313112,0,1,3,300
"2325","contractor",83.6236933797909,4.39217227862611,1,4,2,300
"2326","contradict",90.2985074626866,4.23621112312157,2,7,12,300
"2327","contradictory",85.6060606060606,4.37269357366126,3,8,11,300
"2328","contraption",78.7003610108303,4.33744808895142,3,2,10,300
"2329","contrary",85.3281853281853,4.12874691856261,6,6,11,300
"2330","contrast",93.5018050541516,3.99926915654618,3,2,10,300
"2331","contribute",94.4055944055944,3.81634982086165,0,2,10,300
"2332","contribution",93.7282229965157,4.00898745182892,1,0,10,300
"2333","control",89.8245614035088,4.81915024662111,1,4,4,300
"2334","controller",84.1698841698842,4.38597000984206,1,13,12,300
"2335","controls",73.4767025089606,4.79557942663145,0,7,7,300
"2336","controversial",78.0669144981413,4.75470555924456,0,11,9,300
"2337","controversy",89.6797153024911,4.4177873432779,1,4,8,300
"2338","conundrum",88.477366255144,3.81780064920767,9,10,10,300
"2339","convenience",86.7857142857143,3.727222223562,2,3,8,300
"2340","convenient",85.9259259259259,3.78081136151989,1,6,15,300
"2341","convent",93.1818181818182,3.56151559019274,6,6,6,300
"2342","conventional",85.9154929577465,3.96861348418308,0,5,6,300
"2343","conversation",89.5470383275261,3.83496424650835,2,1,5,300
"2344","converse",92.7586206896552,3.46437020456987,1,0,7,300
"2345","convert",86.9230769230769,3.92137095440536,1,12,13,300
"2346","convex",84.7908745247148,3.64346921934884,6,4,11,300
"2347","convey",87.9699248120301,4.32082573272371,7,3,7,300
"2348","convict",90.7216494845361,3.81697911227308,0,3,3,300
"2349","conviction",88.7323943661972,4.12922822424833,3,2,3,300
"2350","convince",87.7394636015326,4.48058198536016,4,5,17,300
"2351","convinced",76.0299625468165,4.73348674538375,0,9,15,300
"2352","convincing",84.8484848484848,4.31862049709913,0,11,14,300
"2353","cook",90.7534246575342,4.05835664094737,0,3,2,300
"2354","cookbook",88.6986301369863,3.98105554692642,0,1,6,300
"2355","cooked",88.2758620689655,3.99947668084943,0,2,6,300
"2356","cooker",86.7158671586716,3.73250357511608,6,3,5,300
"2357","cookie",84.641638225256,3.98370389554456,0,2,3,300
"2358","cookies",84.5360824742268,4.13813226271165,1,1,4,300
"2359","cooking",92.4914675767918,4.37119258718989,0,1,5,300
"2360","cookout",92.1259842519685,3.9796770354774,11,5,3,300
"2361","cool",90.1360544217687,4.35603751653429,0,1,4,300
"2362","cooler",89.8245614035088,3.99380280888945,0,4,7,300
"2363","cooling",90.8088235294118,4.26762605942343,0,9,10,300
"2364","cooperate",87.6325088339223,4.24191053811093,3,0,8,300
"2365","cooperation",85.2517985611511,4.50014110975341,0,6,10,300
"2366","cooperative",78.7644787644788,4.41050670979629,2,13,9,300
"2367","coordinate",88.3636363636364,4.71082671673931,2,5,9,300
"2368","cop",92.6829268292683,4.06008958072175,1,1,8,300
"2369","cope",84.1509433962264,4.42460474391928,4,5,13,300
"2370","copier",89.6551724137931,3.53339760696176,0,2,6,300
"2371","co-pilot",90.4929577464789,3.95473502231091,1,5,3,300
"2372","copious",86.6412213740458,4.03211631539818,4,9,8,300
"2373","copper",90.0684931506849,4.09207498401197,1,1,3,300
"2374","cops",86.551724137931,3.55527665180843,0,1,8,300
"2375","copy",92.5170068027211,3.99771054794812,0,1,4,300
"2376","copycat",77.7310924369748,4.57874493691443,4,18,14,300
